Hugo_Symbol	GE: BLCA
TES	-1.0806903228743467
LGMN	-0.6452469841462132
PTPN9	-0.02007607381141361
NDRG2	-1.0404207095940106
DMXL2	0.29610055128246204
ARMCX1	-2.274393512390991
OSTM1	-1.283486304130451
DEPDC1B	3.8846102371941535
PEX13	0.20040557125182493
TINAGL1	0.9603217519122416
GSAP	-0.3318980704534066
PAFAH1B3	2.382553051546665
PRSS8	3.234068253326622
ZNF324B	0.010049773895351685
BANP	0.13056684438720703
ANKIB1	-0.015033988571628139
BMP2K	-0.22157605064993546
LY75	0.922151697956578
SPRY4	0.04026298883007123
EFEMP2	-1.3312043630124573
FRA10AC1	-0.4511094542642946
TUBGCP4	0.14060571028163743
ABHD16B	0.4947564767741381
SLC44A3	1.0424453974475587
GOLGA8A	0.4412313399207859
SLCO4A1	-1.609573207688776
CDH5	-1.1905759592982474
CSNK2A1	0.13012162872098737
EBAG9	0.020042948290445315
CYB5R2	1.0775662352241215
NAGPA	0.28134979479000893
ATP6V1G1	0.16005068838810707
SUCLG1	-0.36019324397324093
AP000350.4	0.3030086535870789
KPNB1	0.26509589147468443
RUFY3	-0.4963826066455578
UBAC1	-0.03003838738753877
FAM208A	-0.09012146068958504
DACT3	-4.446960990873308
AMOTL2	-0.8971233685286213
STMN1	2.040560912846517
RPS3A	-0.6600123270270498
PSCA	0.3700407048169353
CCDC109B	0.40182165048887813
TMEM129	0.03003596440523966
DNMT3A	0.5420511338191298
ERAP1	-0.27561847852812715
CORO1B	0.5102336811003736
DNAJB6	-0.5902213482695324
GHDC	-0.12026268181356978
ANKRD42	-0.780712165700514
ENG	-0.28525837090106876
USP10	-0.12013617714145686
SLC35B3	0.03008773038473957
GJC2	-1.9053130174951836
TNFAIP8L1	0.025128074164215183
CNP	0.08506480582174566
NOC4L	0.7966452957693846
SOS2	-0.7376836402402215
ANKRD9	0.5025518825569583
ERGIC3	0.7901248163036094
CCDC104	-0.5906707892910461
ACOT4	1.5503617184569207
RFC2	1.0717817554372813
ACAD11	-0.3120544093801869
LAT	-0.30666089115248574
MBOAT7	1.0704307659192531
PABPC1	0.8150203374262572
CCDC146	-0.5207998142910977
ZCCHC9	-0.21044817579412436
EXOC3L2	0.24959955358776997
NBPF14	-0.9675785223076225
MRPS34	0.7553356199945467
EED	0.24061298737287531
RPP38	0.3105897935975333
KCMF1	-0.05505987830580969
SMARCAL1	0.11540552614529265
RAB3IL1	-2.088832568721529
CLIC2	-1.254808850900406
GTF2F2	0.16025773536146343
UBQLN1	-0.17015858137884993
LIMA1	0.05504068318238905
PLCG1	0.14021279243556856
MTMR7	-0.6263464214862755
SNCG	0.7400898285975477
CTSZ	0.4301059519504482
FBXO3	-0.7415602417366989
GJB2	2.114074408260502
C1orf109	0.522050233991413
TSPAN5	-0.5325875543978276
TGFB1I1	-2.7229788174799494
MCRS1	0.3503413574831212
SH3BP4	-0.015106960428428504
UBTD2	-0.02003443177171467
FAM115A	-0.04007696958953633
AEBP2	-0.49610493989216764
C2orf49	0.03010617371651603
MAGI1	-1.5033360864148135
STXBP3	-0.4306558393485517
LGI4	-3.523673701167513
EPT1	0.8955393400202547
PSMD8	0.6851854174957936
KAZN	-0.05528324935494741
SELL	-0.4332064652510037
GSTA4	-1.1134280805785095
NXPH3	-3.2489835655848434
CITED4	1.0886593471421282
CACHD1	-1.6858752580858472
DCK	0.3916247887213931
EPB41L5	-0.13072300725895883
C10orf54	-1.161076081826924
DFNB31	-0.5963127060983492
CD99	-0.6051958492886993
IL10RB	0.14018998433711474
PIGU	0.7510732843373704
GPR108	0.1250843832934639
OS9	0.1600357656686858
MED23	-0.15076295330116238
ZNF189	-0.6188250817871934
NARS	-0.20010504483002342
SBF1	-0.18025919727374975
SSFA2	-0.5707327490412597
SPIDR	0.020033968313890843
GAREM	-0.09048258888582485
PSMB7	0.5601554330469001
RHEBL1	2.3398145311966974
BNIP3L	-0.8157151761044134
ZNF581	0.38580780706357476
CDK5RAP3	0.6602816056098064
FAM110B	-3.124614505450377
ZSCAN16	0.6552040186804425
CEP152	0.9226350376045899
ZDHHC5	0.24523611233691
TCEB3	0.120218232706518
FGFBP3	0.010036179888577516
MCOLN2	-0.13606812519933312
HNRNPH1	-0.21503542810033605
